Artist_names,Artist_url,Artist_id,Track_names,Track_url,Track_id,Popularity
Jason Derulo,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8,07YZf4WDAMNwqr4jfgOZ8y,Wiggle (feat. Snoop Dogg),https://open.spotify.com/track/1MzXFDFEdndvOReLnoZ0p7,1MzXFDFEdndvOReLnoZ0p7,52
The Streets,https://open.spotify.com/artist/4GvOygVQquMaPm8oAc0vX,4GvOygVQquMaPm8oAc0vXi,Dry Your Eyes,https://open.spotify.com/track/3PEx44by2Pe7E6M8tgqE5N,3PEx44by2Pe7E6M8tgqE5N,53
Victoria Monét,https://open.spotify.com/artist/63XBtGSEZINSyXylZxEUbv,63XBtGSEZINSyXylZxEUbv,Dive,https://open.spotify.com/track/0X0MCiE18F0xztZ6G6lQuz,0X0MCiE18F0xztZ6G6lQuz,52
Doja Cat,https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5,5cj0lLjcoR7YOSnhnX0Po5,Ain't Shit,https://open.spotify.com/track/2VT56hhAcF0D3lGx9PUth,2VT56hhAcF0D3lGx9PUthf,61
SZA,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,Love Galore (feat. Travis Scott),https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4B,0q75NwOoFiARAVp4EXU4Bs,76
SZA,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,I Hate U,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H,5dXWFMwD7I7zXsInONVl0H,78
David Tao,https://open.spotify.com/artist/40tNK2YedBV2jRFAHxpifB,40tNK2YedBV2jRFAHxpifB,沙灘,https://open.spotify.com/track/1M54Y8kZqO2kx8Qk7nSe4B,1M54Y8kZqO2kx8Qk7nSe4B,40
Robert Schumann,https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ,2UqjDAXnDxejEyE0CzfUrZ,"Piano Concerto in A Minor, Op. 54: III. Allegro vivace",https://open.spotify.com/track/0nSvb84iZfS1jRZ3kw4J7,0nSvb84iZfS1jRZ3kw4J7y,16
Masiwei,https://open.spotify.com/artist/0fyaEHmSmZs2YWMgbruITA,0fyaEHmSmZs2YWMgbruITA,Why,https://open.spotify.com/track/11sh62oZ9zVFiViz2lHzmr,11sh62oZ9zVFiViz2lHzmr,19
Masiwei,https://open.spotify.com/artist/0fyaEHmSmZs2YWMgbruITA,0fyaEHmSmZs2YWMgbruITA,Little Match Girl,https://open.spotify.com/track/28TRiXOS7urvH9SZR8OJW6,28TRiXOS7urvH9SZR8OJW6,24
Bow Wow,https://open.spotify.com/artist/7352aRY2mqSxBZwzUb6LmA,7352aRY2mqSxBZwzUb6LmA,Let Me Hold You (feat. Omarion),https://open.spotify.com/track/1oNToERLIN71YCPLbRIQGQ,1oNToERLIN71YCPLbRIQGQ,63
Hope Tala,https://open.spotify.com/artist/74CcYmmNeHKe5PrZaISk8e,74CcYmmNeHKe5PrZaISk8e,All My Girls Like To Fight,https://open.spotify.com/track/6rCuplMDiFQVSca77OQocz,6rCuplMDiFQVSca77OQocz,56
Hope Tala,https://open.spotify.com/artist/74CcYmmNeHKe5PrZaISk8e,74CcYmmNeHKe5PrZaISk8e,Lovestained,https://open.spotify.com/track/5I67IXwHIMi0svzyp7GxUe,5I67IXwHIMi0svzyp7GxUe,46
Hope Tala,https://open.spotify.com/artist/74CcYmmNeHKe5PrZaISk8e,74CcYmmNeHKe5PrZaISk8e,Mulholland,https://open.spotify.com/track/4uvsFVpFwARxx5lEfcpPmM,4uvsFVpFwARxx5lEfcpPmM,51
Ronghao Li,https://open.spotify.com/artist/0rTP0x4vRFSDbhtqcCqc8K,0rTP0x4vRFSDbhtqcCqc8K,花樣年華,https://open.spotify.com/track/3crQq4Vg8uC6b7q2SkMp83,3crQq4Vg8uC6b7q2SkMp83,23
deulrejang,https://open.spotify.com/artist/1jdSKlrCsJ5qLsT7YuOiwM,1jdSKlrCsJ5qLsT7YuOiwM,I don't know,https://open.spotify.com/track/2tjh87mXDZJJIKLOpqH97T,2tjh87mXDZJJIKLOpqH97T,40
King Gnu,https://open.spotify.com/artist/6wxfx1yhyqjCPYwwxJktR2,6wxfx1yhyqjCPYwwxJktR2,BOY,https://open.spotify.com/track/3oQaOjaIYPsnJbGNzXcIID,3oQaOjaIYPsnJbGNzXcIID,65
许钧,https://open.spotify.com/artist/3kU8TgZ3WouCr0GDkYnPbN,3kU8TgZ3WouCr0GDkYnPbN,烂情,https://open.spotify.com/track/5MDwe8eee44VDwjjKRgV9T,5MDwe8eee44VDwjjKRgV9T,20
